Namespace(algo='dqn', batch_size=64, checkpoint_freq=20000, discount=0.996, ent_coef=0.01, env='CartPole-v1', eps_decay=4000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.001, niter=10000, nproc=2, parallel_env=0, print_freq=200, replay_size=20000, save_dir='cartpole_dqn/', target_update=1000, train_freq=1, train_start=100, value_coef=0.5)
observation space: Box(4,)
action space: Discrete(2)
running on device cpu
obses on reset: 2 x (4,) float32
iter    200 |loss   0.00 |n_ep    18 |ep_len   20.2 |ep_rew  20.19 |raw_ep_rew  20.19 |env_step    400 |time 00:00 rem 00:22
iter   8000 |loss   0.15 |n_ep   415 |ep_len  176.2 |ep_rew 176.19 |raw_ep_rew 176.19 |env_step  16000 |time 00:30 rem 00:07
iter   8200 |loss   0.03 |n_ep   417 |ep_len  179.6 |ep_rew 179.59 |raw_ep_rew 179.59 |env_step  16400 |time 00:32 rem 00:07
iter   8400 |loss   0.01 |n_ep   419 |ep_len  181.2 |ep_rew 181.22 |raw_ep_rew 181.22 |env_step  16800 |time 00:33 rem 00:06
iter   8600 |loss   0.01 |n_ep   421 |ep_len  186.6 |ep_rew 186.57 |raw_ep_rew 186.57 |env_step  17200 |time 00:33 rem 00:05
iter   8800 |loss   0.01 |n_ep   423 |ep_len  191.5 |ep_rew 191.54 |raw_ep_rew 191.54 |env_step  17600 |time 00:34 rem 00:04
iter   9000 |loss   0.13 |n_ep   425 |ep_len  197.0 |ep_rew 197.03 |raw_ep_rew 197.03 |env_step  18000 |time 00:35 rem 00:03
iter   9200 |loss   0.08 |n_ep   427 |ep_len  193.4 |ep_rew 193.37 |raw_ep_rew 193.37 |env_step  18400 |time 00:36 rem 00:03
iter   9400 |loss   0.06 |n_ep   429 |ep_len  193.5 |ep_rew 193.50 |raw_ep_rew 193.50 |env_step  18800 |time 00:37 rem 00:02
iter   9600 |loss   0.01 |n_ep   431 |ep_len  192.5 |ep_rew 192.54 |raw_ep_rew 192.54 |env_step  19200 |time 00:37 rem 00:01
iter   9800 |loss   0.01 |n_ep   433 |ep_len  193.4 |ep_rew 193.43 |raw_ep_rew 193.43 |env_step  19600 |time 00:38 rem 00:00
save checkpoint to cartpole_dqn/9999.pth
