Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter    500 |loss  -0.13 |n_ep   133 |ep_len   31.1 |ep_rew  -0.24 |raw_ep_rew   0.66 |env_step   4000 |time 00:30 rem 1004:37
iter  24000 |loss   0.06 |n_ep  4892 |ep_len   42.0 |ep_rew   0.24 |raw_ep_rew   7.44 |env_step 192000 |time 24:26 rem 993:47
iter  24500 |loss   0.02 |n_ep  4975 |ep_len   45.9 |ep_rew   0.30 |raw_ep_rew   6.33 |env_step 196000 |time 24:56 rem 993:17
iter  25000 |loss  -0.06 |n_ep  5056 |ep_len   49.0 |ep_rew   0.38 |raw_ep_rew   6.56 |env_step 200000 |time 25:27 rem 992:47
iter  25500 |loss   0.05 |n_ep  5139 |ep_len   46.0 |ep_rew   0.34 |raw_ep_rew   7.14 |env_step 204000 |time 25:57 rem 992:17
iter  26000 |loss  -0.06 |n_ep  5222 |ep_len   50.8 |ep_rew   0.51 |raw_ep_rew   6.85 |env_step 208000 |time 26:28 rem 991:51
iter  26500 |loss   0.04 |n_ep  5299 |ep_len   49.5 |ep_rew   0.55 |raw_ep_rew   7.18 |env_step 212000 |time 26:59 rem 991:21
iter  27000 |loss   0.01 |n_ep  5385 |ep_len   50.4 |ep_rew   0.46 |raw_ep_rew   6.99 |env_step 216000 |time 27:29 rem 990:50
iter  27500 |loss   0.00 |n_ep  5465 |ep_len   43.9 |ep_rew   0.21 |raw_ep_rew   6.50 |env_step 220000 |time 28:00 rem 990:18
iter  28000 |loss  -0.02 |n_ep  5545 |ep_len   49.3 |ep_rew   0.41 |raw_ep_rew   5.01 |env_step 224000 |time 28:30 rem 989:49
iter  28500 |loss   0.04 |n_ep  5629 |ep_len   48.5 |ep_rew   0.44 |raw_ep_rew   6.54 |env_step 228000 |time 29:01 rem 989:21
iter  29000 |loss  -0.00 |n_ep  5714 |ep_len   48.1 |ep_rew   0.39 |raw_ep_rew   6.00 |env_step 232000 |time 29:31 rem 988:50
iter  29500 |loss   0.02 |n_ep  5797 |ep_len   45.4 |ep_rew   0.38 |raw_ep_rew   6.41 |env_step 236000 |time 30:02 rem 988:20
iter  30000 |loss  -0.04 |n_ep  5883 |ep_len   48.4 |ep_rew   0.43 |raw_ep_rew   5.85 |env_step 240000 |time 30:33 rem 987:52
iter  30500 |loss   0.11 |n_ep  5960 |ep_len   49.0 |ep_rew   0.49 |raw_ep_rew   6.97 |env_step 244000 |time 31:03 rem 987:21
iter  31000 |loss  -0.08 |n_ep  6041 |ep_len   47.2 |ep_rew   0.36 |raw_ep_rew   6.46 |env_step 248000 |time 31:34 rem 986:50
iter  31500 |loss  -0.03 |n_ep  6117 |ep_len   50.2 |ep_rew   0.57 |raw_ep_rew   6.95 |env_step 252000 |time 32:04 rem 986:19
iter  32000 |loss   0.02 |n_ep  6200 |ep_len   46.0 |ep_rew   0.34 |raw_ep_rew   6.21 |env_step 256000 |time 32:35 rem 985:50
iter  32500 |loss  -0.06 |n_ep  6276 |ep_len   57.0 |ep_rew   0.66 |raw_ep_rew   6.74 |env_step 260000 |time 33:05 rem 985:19
iter  33000 |loss   0.00 |n_ep  6350 |ep_len   55.9 |ep_rew   0.67 |raw_ep_rew   7.71 |env_step 264000 |time 33:36 rem 984:48
iter  33500 |loss   0.03 |n_ep  6426 |ep_len   68.8 |ep_rew   1.14 |raw_ep_rew   6.73 |env_step 268000 |time 34:06 rem 984:16
iter  34000 |loss   0.11 |n_ep  6499 |ep_len   51.6 |ep_rew   0.52 |raw_ep_rew   6.92 |env_step 272000 |time 34:37 rem 983:47
iter  34500 |loss   0.07 |n_ep  6563 |ep_len   51.2 |ep_rew   0.47 |raw_ep_rew   7.14 |env_step 276000 |time 35:07 rem 983:12
iter  35000 |loss  -0.09 |n_ep  6636 |ep_len   49.3 |ep_rew   0.46 |raw_ep_rew   7.41 |env_step 280000 |time 35:38 rem 982:41
iter  35500 |loss  -0.07 |n_ep  6705 |ep_len   73.9 |ep_rew   1.08 |raw_ep_rew   6.52 |env_step 284000 |time 36:08 rem 982:07
iter  36000 |loss  -0.04 |n_ep  6774 |ep_len   63.2 |ep_rew   0.86 |raw_ep_rew   6.21 |env_step 288000 |time 36:39 rem 981:38
iter  36500 |loss   0.01 |n_ep  6851 |ep_len   54.5 |ep_rew   0.64 |raw_ep_rew   7.20 |env_step 292000 |time 37:10 rem 981:07
iter  37000 |loss  -0.02 |n_ep  6923 |ep_len   53.8 |ep_rew   0.45 |raw_ep_rew   5.90 |env_step 296000 |time 37:40 rem 980:33
iter  37500 |loss   0.05 |n_ep  6990 |ep_len   73.0 |ep_rew   0.98 |raw_ep_rew   6.55 |env_step 300000 |time 38:10 rem 980:01
iter  38000 |loss   0.01 |n_ep  7059 |ep_len   53.1 |ep_rew   0.54 |raw_ep_rew   8.24 |env_step 304000 |time 38:41 rem 979:31
iter  38500 |loss  -0.05 |n_ep  7130 |ep_len   54.7 |ep_rew   0.61 |raw_ep_rew   7.75 |env_step 308000 |time 39:12 rem 979:00
iter  39000 |loss  -0.06 |n_ep  7200 |ep_len   61.0 |ep_rew   0.69 |raw_ep_rew   6.58 |env_step 312000 |time 39:42 rem 978:28
iter  39500 |loss   0.09 |n_ep  7273 |ep_len   53.1 |ep_rew   0.48 |raw_ep_rew   6.04 |env_step 316000 |time 40:13 rem 977:58
iter  40000 |loss  -0.07 |n_ep  7346 |ep_len   52.5 |ep_rew   0.60 |raw_ep_rew   6.64 |env_step 320000 |time 40:43 rem 977:27
iter  40500 |loss   0.05 |n_ep  7418 |ep_len   47.4 |ep_rew   0.38 |raw_ep_rew   6.53 |env_step 324000 |time 41:14 rem 976:56
iter  41000 |loss   0.07 |n_ep  7492 |ep_len   51.1 |ep_rew   0.65 |raw_ep_rew   7.84 |env_step 328000 |time 41:44 rem 976:25
iter  41500 |loss  -0.11 |n_ep  7556 |ep_len   57.8 |ep_rew   0.66 |raw_ep_rew   7.62 |env_step 332000 |time 42:15 rem 975:52
iter  42000 |loss  -0.00 |n_ep  7622 |ep_len   69.5 |ep_rew   0.92 |raw_ep_rew   8.00 |env_step 336000 |time 42:45 rem 975:21
iter  42500 |loss   0.08 |n_ep  7691 |ep_len   53.5 |ep_rew   0.63 |raw_ep_rew   8.46 |env_step 340000 |time 43:16 rem 974:49
